City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
421,Talikota,IN,84.92,16.48,76.32,overcast clouds,Prabhugouda B Bantanur
422,Meulaboh,ID,82.08,4.14,96.13,light rain,Kost Pria
424,Narathiwat,TH,86.0,6.33,101.75,few clouds,MUSOR
428,Tautira,PF,75.2,-17.73,-149.15,broken clouds,Pension Oaoa
429,Ayios Nikolaos,GR,84.0,38.42,23.65,few clouds,Lefkadi
432,Omboue,GA,77.49,-1.57,9.26,overcast clouds,Hotel Olako
433,Daru,PG,78.13,-9.08,143.21,light rain,New century hotel
435,Muros,ES,72.0,42.78,-9.06,clear sky,Apartment Av. Castelao
436,Porto Novo,BJ,80.6,6.5,2.6,few clouds,Tour Eiffel Hotel Benin
437,Quelimane,MZ,80.6,-17.88,36.89,scattered clouds,Hotel Flamingo
439,Sirtich,RU,83.98,41.83,48.23,light rain,
440,La Rioja,ES,77.0,42.25,-2.5,scattered clouds,Casa Concejos
443,Avera,US,73.4,33.19,-82.53,clear sky,
445,Mranggen,ID,86.0,-7.03,110.52,few clouds,Bushro Adventure - Toko Alat Outdoor Demak
447,Tirukkoyilur,IN,89.58,11.95,79.2,overcast clouds,Hotel SKTC Grand Palace
448,Barra Patuca,HN,76.62,15.8,-84.28,broken clouds,
449,Baishishan,CN,71.67,43.58,127.57,overcast clouds,白林宾馆
452,Meadow Lake,US,78.8,34.8,-106.54,clear sky,JKL Inc. R.V Park and Storage
453,Ghanzi,BW,79.3,-21.57,21.78,clear sky,Ghanzi Farmhouse
455,Tekkali,IN,89.76,18.62,84.23,broken clouds,Trinath Gantayat
456,Samana,DO,78.8,19.21,-69.34,scattered clouds,The Bannister - Hotel & Yacht Club
457,Ust-Karsk,RU,85.3,52.7,118.81,few clouds,
458,Kamenka,RU,79.0,51.32,42.77,clear sky,
460,Mahebourg,MU,73.4,-20.41,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
471,Oussouye,SN,86.0,12.48,-16.55,scattered clouds,Auberge du Routard
